,min_salary,max_salary,currency,title,link,source
0,80000,0,руб,Учитель иностранного языка в школу,https://nn.hh.ru/vacancy/67622589?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
1,120000,0,руб,Учитель начальных классов,https://nn.hh.ru/vacancy/52238064?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
2,95000,105000,руб,Учитель русского языка и литературы,https://nn.hh.ru/vacancy/67628467?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
3,60000,90000,руб,Учитель по изобразительному искусству и технологии в начальную школу,https://nn.hh.ru/vacancy/67660585?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
4,80000,120000,руб,Учитель начальных классов,https://nn.hh.ru/vacancy/67629656?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
5,80000,0,руб,"Учитель русского языка, литературы в школу",https://nn.hh.ru/vacancy/67622596?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
6,73000,96000,руб,Психолог / помощник психолога/ педагог-психолог,https://nn.hh.ru/vacancy/51504955?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
7,84100,84100,руб,Учитель начальных классов,https://nn.hh.ru/vacancy/66764857?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
8,21000,56000,руб,Учитель начальных классов (удаленно),https://nn.hh.ru/vacancy/66638636?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
9,100000,0,руб,Учитель русского языка и литературы,https://nn.hh.ru/vacancy/67635065?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
10,300000,0,руб,Гувернантка (гувернер),https://nn.hh.ru/vacancy/67619852?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
11,100000,120000,руб,Учитель начальной школы,https://nn.hh.ru/vacancy/67070468?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
12,100000,150000,руб,Педагог дополнительного образования,https://nn.hh.ru/vacancy/67159514?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
13,90000,140000,руб,Учитель начальных классов,https://nn.hh.ru/vacancy/67660419?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
14,60000,100000,руб,Педагог начальных классов,https://nn.hh.ru/vacancy/66975296?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
15,0,0,руб,Учитель начальных классов,https://nn.hh.ru/vacancy/55370952?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
16,60000,0,руб,Учитель начальных классов в частную школу,https://nn.hh.ru/vacancy/66932808?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
17,80000,120000,руб,Педагог математики с опытом вожатской и командообразовательной работы в лагере,https://nn.hh.ru/vacancy/67272420?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru
